Indicator_Type,Data,Note
domain,5057800248.appinvoices.com,FlowerStorm phishing domain
domain,5059053048.my.id,FlowerStorm phishing domain
domain,5072436762.courtdocumentsupport.com,FlowerStorm phishing domain
domain,5072436762.lawfinancelabel.com,FlowerStorm phishing domain
domain,5072571567.site,FlowerStorm phishing domain
domain,5093111612.my.id,FlowerStorm phishing domain
domain,5096052331.courtdocumentsupport.com,FlowerStorm phishing domain
domain,5102487645.my.id,FlowerStorm phishing domain
domain,5106178700.xyz,FlowerStorm phishing domain
domain,5116836530.my.id,FlowerStorm phishing domain
domain,5122809283.federaldocapp.com,FlowerStorm phishing domain
domain,5126067992.invoicingconstructionlaw.com,FlowerStorm phishing domain
domain,5136040640.invoicingconstructionlaw.com,FlowerStorm phishing domain
domain,5140111679.businesslawfederal.com,FlowerStorm phishing domain
domain,5142199441.businesslegalfederal.com,FlowerStorm phishing domain
domain,5145178238.my.id,FlowerStorm phishing domain
domain,5165691148.my.id,FlowerStorm phishing domain
domain,5167648225.my.id,FlowerStorm phishing domain
domain,5169367063.my.id,FlowerStorm phishing domain
domain,5190157411.my.id,FlowerStorm phishing domain
domain,5199156241.my.id,FlowerStorm phishing domain
domain,5200447943.my.id,FlowerStorm phishing domain
domain,5200447943.space,FlowerStorm phishing domain
domain,5205233323.appinvoices.com,FlowerStorm phishing domain
domain,5212084691.appinvoices.com,FlowerStorm phishing domain
domain,5217002285.site,FlowerStorm phishing domain
domain,5230315137.my.id,FlowerStorm phishing domain
domain,5253999887.my.id,FlowerStorm phishing domain
domain,5261427917.my.id,FlowerStorm phishing domain
domain,5261427917.space,FlowerStorm phishing domain
domain,5270889476.lawfinancelabel.com,FlowerStorm phishing domain
domain,5271714586.appinvoices.com,FlowerStorm phishing domain
domain,5288874037.my.id,FlowerStorm phishing domain
domain,5322129544.constructionfederal.com,FlowerStorm phishing domain
domain,5332779822.my.id,FlowerStorm phishing domain
domain,5332779822.space,FlowerStorm phishing domain
domain,5334635671.microsoftlawgroup.com,FlowerStorm phishing domain
domain,5338887838.space,FlowerStorm phishing domain
domain,5339485049.my.id,FlowerStorm phishing domain
domain,5348755448.my.id,FlowerStorm phishing domain
domain,5348755448.space,FlowerStorm phishing domain
domain,535659351.my.id,FlowerStorm phishing domain
domain,5371906885.constructionregs.com,FlowerStorm phishing domain
domain,5381221488.space,FlowerStorm phishing domain
domain,5382072737.my.id,FlowerStorm phishing domain
domain,5396547141.constructionlawus.com,FlowerStorm phishing domain
domain,5396547141.database-server.com,FlowerStorm phishing domain
domain,5403640592.my.id,FlowerStorm phishing domain
domain,5423770203.site,FlowerStorm phishing domain
domain,5429295774.xyz,FlowerStorm phishing domain
domain,5429442703.my.id,FlowerStorm phishing domain
domain,5430446610.my.id,FlowerStorm phishing domain
domain,5437776170.constructionlawus.com,FlowerStorm phishing domain
domain,5437776170.federaldocapp.com,FlowerStorm phishing domain
domain,5452384372.my.id,FlowerStorm phishing domain
domain,5460020305.cloud,FlowerStorm phishing domain
domain,5460020305.federaldocapp.com,FlowerStorm phishing domain
domain,5465795291.constructionregs.com,FlowerStorm phishing domain
domain,5467688726.businesslawyeroutlook.com,FlowerStorm phishing domain
domain,5476299064.constructionlawcourts.com,FlowerStorm phishing domain
domain,5476580847.site,FlowerStorm phishing domain
domain,5505848944.businesslawfederal.com,FlowerStorm phishing domain
domain,5505848944.my.id,FlowerStorm phishing domain
domain,5506031284.site,FlowerStorm phishing domain
domain,5507615703.microsoftlawgroup.com,FlowerStorm phishing domain
domain,5508548905.constructionregs.com,FlowerStorm phishing domain
domain,5510731730.my.id,FlowerStorm phishing domain
domain,5511861877.site,FlowerStorm phishing domain
domain,5515365273.lawfinancelabel.com,FlowerStorm phishing domain
domain,5515365273.space,FlowerStorm phishing domain
domain,5519026973.fun,FlowerStorm phishing domain
domain,5520484274.my.id,FlowerStorm phishing domain
domain,5536658207.lawyerinvoicehub.com,FlowerStorm phishing domain
domain,5539910005.my.id,FlowerStorm phishing domain
domain,5549981389.businesslegalfederal.com,FlowerStorm phishing domain
domain,5556410460.site,FlowerStorm phishing domain
domain,5562925525.site,FlowerStorm phishing domain
domain,5569611731.businesslawfederal.com,FlowerStorm phishing domain
domain,5569611731.my.id,FlowerStorm phishing domain
domain,5569611731.space,FlowerStorm phishing domain
domain,5584003525.my.id,FlowerStorm phishing domain
domain,5615496527.constructionfederal.com,FlowerStorm phishing domain
domain,5619074925.lawyerinvoicehub.com,FlowerStorm phishing domain
domain,5626151058.my.id,FlowerStorm phishing domain
domain,5646627680.my.id,FlowerStorm phishing domain
domain,5646634237.businesslawyeroutlook.com,FlowerStorm phishing domain
domain,5646634237.businesslegalfederal.com,FlowerStorm phishing domain
domain,5646634237.my.id,FlowerStorm phishing domain
domain,5657445025.federaldocapp.com,FlowerStorm phishing domain
domain,5660929956.appinvoices.com,FlowerStorm phishing domain
domain,5664686877.my.id,FlowerStorm phishing domain
domain,5667627934.my.id,FlowerStorm phishing domain
domain,5671226673.site,FlowerStorm phishing domain
domain,5671826758.space,FlowerStorm phishing domain
domain,5676123293.my.id,FlowerStorm phishing domain
domain,5676123293.space,FlowerStorm phishing domain
domain,5686077371.my.id,FlowerStorm phishing domain
domain,5686077371.space,FlowerStorm phishing domain
domain,5696938214.cloud,FlowerStorm phishing domain
domain,5708231722.lawyerinvoicehub.com,FlowerStorm phishing domain
domain,5708231722.my.id,FlowerStorm phishing domain
domain,5711491921.fun,FlowerStorm phishing domain
domain,5711491921.my.id,FlowerStorm phishing domain
domain,5712759205.brandlawdocs.com,FlowerStorm phishing domain
domain,5712759205.my.id,FlowerStorm phishing domain
domain,5740882953.my.id,FlowerStorm phishing domain
domain,5743412252.lawyerinvoicehub.com,FlowerStorm phishing domain
domain,5748851318.site,FlowerStorm phishing domain
domain,5751059671.businesslegalfederal.com,FlowerStorm phishing domain
domain,5753721090.my.id,FlowerStorm phishing domain
domain,5771935265.businesslawyeroutlook.com,FlowerStorm phishing domain
domain,5773961874.site,FlowerStorm phishing domain
domain,5779459270.businesslawyeroutlook.com,FlowerStorm phishing domain
domain,5782009189.my.id,FlowerStorm phishing domain
domain,5788485503.businesslawfederal.com,FlowerStorm phishing domain
domain,5788485503.site,FlowerStorm phishing domain
domain,5803251012.my.id,FlowerStorm phishing domain
domain,5804876737.my.id,FlowerStorm phishing domain
domain,5830537601.site,FlowerStorm phishing domain
domain,5840962294.constructionlawus.com,FlowerStorm phishing domain
domain,5843928929.businesslegalfederal.com,FlowerStorm phishing domain
domain,5850031111.my.id,FlowerStorm phishing domain
domain,5866331165.constructionregs.com,FlowerStorm phishing domain
domain,5867694250.my.id,FlowerStorm phishing domain
domain,5884344780.my.id,FlowerStorm phishing domain
domain,5885068021.constructionlawus.com,FlowerStorm phishing domain
domain,5889631857.constructionlawus.com,FlowerStorm phishing domain
domain,5889631857.constructionregs.com,FlowerStorm phishing domain
domain,5892418907.my.id,FlowerStorm phishing domain
domain,5900172885.fun,FlowerStorm phishing domain
domain,5900172885.my.id,FlowerStorm phishing domain
domain,5910995501.site,FlowerStorm phishing domain
domain,5911928299.my.id,FlowerStorm phishing domain
domain,5921195173.lawfinancelabel.com,FlowerStorm phishing domain
domain,5923881203.site,FlowerStorm phishing domain
domain,5930406482.constructionregs.com,FlowerStorm phishing domain
domain,5942648030.my.id,FlowerStorm phishing domain
domain,5949499747.my.id,FlowerStorm phishing domain
domain,5957281972.businesslegalfederal.com,FlowerStorm phishing domain
domain,5967326376.constructionregs.com,FlowerStorm phishing domain
domain,5967390518.my.id,FlowerStorm phishing domain
domain,5978548994.federaldocapp.com,FlowerStorm phishing domain
domain,5979771966.site,FlowerStorm phishing domain
domain,5980245431.space,FlowerStorm phishing domain
domain,5981999647.my.id,FlowerStorm phishing domain
domain,5994059853.my.id,FlowerStorm phishing domain
domain,5996140554.constructionlawcourts.com,FlowerStorm phishing domain
domain,6012237178.xyz,FlowerStorm phishing domain
domain,6018258857.federaldocapp.com,FlowerStorm phishing domain
domain,6032451419.businesslawyeroutlook.com,FlowerStorm phishing domain
domain,6032451419.invocelaw.com,FlowerStorm phishing domain
domain,6034123867.my.id,FlowerStorm phishing domain
domain,6038222878.courtdocumentsupport.com,FlowerStorm phishing domain
domain,6054201415.my.id,FlowerStorm phishing domain
domain,6059537009.brandlawdocs.com,FlowerStorm phishing domain
domain,6063819294.my.id,FlowerStorm phishing domain
domain,6063819294.space,FlowerStorm phishing domain
domain,6064220541.my.id,FlowerStorm phishing domain
domain,6068369931.invocelaw.com,FlowerStorm phishing domain
domain,6078804614.federaldocuments.com,FlowerStorm phishing domain
domain,6079697307.constructionfederal.com,FlowerStorm phishing domain
domain,6087599981.businesslawyeroutlook.com,FlowerStorm phishing domain
domain,6089251830.microsoftlawgroup.com,FlowerStorm phishing domain
domain,6089251830.site,FlowerStorm phishing domain
domain,6093503030.site,FlowerStorm phishing domain
domain,6110368953.site,FlowerStorm phishing domain
domain,6110368953.space,FlowerStorm phishing domain
domain,6110904866.businesslegalfederal.com,FlowerStorm phishing domain
domain,6110904866.my.id,FlowerStorm phishing domain
domain,6111431544.courtdocumentsupport.com,FlowerStorm phishing domain
domain,6111431544.lawfinancelabel.com,FlowerStorm phishing domain
domain,6111431544.site,FlowerStorm phishing domain
domain,6113229448.my.id,FlowerStorm phishing domain
domain,6113229448.space,FlowerStorm phishing domain
domain,6114211390.businesslegalfederal.com,FlowerStorm phishing domain
domain,6130683186.federaldocuments.com,FlowerStorm phishing domain
domain,6130683186.my.id,FlowerStorm phishing domain
domain,6131691186.constructionregs.com,FlowerStorm phishing domain
domain,6146851516.space,FlowerStorm phishing domain
domain,6173798458.fun,FlowerStorm phishing domain
domain,6173798458.space,FlowerStorm phishing domain
