Indicator,Data,Note
sha256,a25eba7a79e46e5f6498ccb82fb4ef0eb3abe784fa0d061fe9e1adce9d39caa7,AnyDesk.iso -- Trojanized installer
sha256,a25f3604213a0db2375ddc2af800faa3833dc5597ca20b3138462c1d77faf952,WinSCP-5.21.8-Setup.iso -- Trojanized installer
sha256,a267937e172f4cd8ce873e4fcfceeddf07ae03db68f64e047f940e2e7a2a136a,msi.dll (NitrogenInstaller)
sha256,a58b9c9cece44216e2dd3304fd4825db3c324393607574f87bec00be505a0d93,file downloaded from Cobalt Strike server -- *work1
sha256,a8b9b74dee76ea6a19845b80498d91e002133d20741b6707744fb345a3581abe,WinSCP_setup.iso -- Trojanized installer
sha256,a9fc36389bd687b547c9fbadaf75f1d27036c08385f4976acb8689ad79d83310,msi.dll (NitrogenInstaller)
sha256,ac5b9d33791a80387e99ddc1cb63346f975982741c6275be7ff03ce4b0459b4f,AnyDesk_v7.1.iso -- Trojanized installer
sha256,ad3feb1cee5750d9acd0119fbfa6af56c07e9387d3ed24633afa48b2d031aaf3,msi.dll (NitrogenInstaller)
sha256,ae84d0d6b9935499a5e0e18052ce7ea64378eba1e9579ca98fdd925d8e6f8639,file downloaded from Cobalt Strike server -- *work7
sha256,b39c5fb42f54275630c05925a1c8f0d92373560b4a735b8d9a63e6498b25ecfb,python310.dll (NitrogenStager)
sha256,b425de9b0e7fe10b89b730339bbcda2d0d4668f5b9226be633409cfb89b3dacd,python310.dll (NitrogenStager)
sha256,b926fcc98f23905abd76b7ed9fa50fb84cc66aa9fb7994064ada715702e80722,file downloaded from Cobalt Strike server -- *ton.zip
sha256,bacbe893b668a63490d2ad045a69b66c96dcacb500803c68a9de6cca944affef,python310.dll (NitrogenStager)
sha256,bf062d03ab77bfa835700f7131e6f95f19e2c5015ff65e47614b736ea9817dd6,TreeSizeFreeSetup.iso -- Trojanized installer
sha256,c7a5a4fb4f680974f3334f14e0349522502b9d5018ec9be42beec5fa8c1597fe,python310.dll (NitrogenStager)
sha256,ccd5e869216640460c3329e41ec30fa22ee729f0b4fc2e61781026c4defea6e6,WinSCP-6.1-Setup (2).iso -- Trojanized installer
sha256,d155d0af73b3e86f42672714caa4391ab615c426a3e3fc44a41e4d125a06172a,msi.dll (NitrogenInstaller)
sha256,d9d53fcadc96c7bc3eae0a84a574b6222f0c906ee4916a9e68e0322b5c694d49,msi.dll (NitrogenInstaller)
sha256,db2a48326f99f0944f50800539817cfb6562f2bfbbcc2f2409901319eb3592ec,file downloaded from Cobalt Strike server -- *work8.py
sha256,e47151f7c394e1b530314cc15d482b5ce797c803c251a61e45efb0316115c677,python310.dll (NitrogenStager)
sha256,e74c4cf311f2b3365605b6648d96baf5674990c3f181f01f462e1ba665bf1f7f,python310.dll (NitrogenStager)
sha256,f1227c5124e24e439b44083369d7fa7a719e076f5839629d2ef10aa5e19e6afc,winscp.iso -- Trojanized installer
sha256,f87a976dfd3881f59dbd2ea53fbfa3a663e1fff83a333b548b4fdc4651d5b8f7,AnyDesk_v7.1.11.iso -- Trojanized installer
sha256,fa6f641d78dcb36f15ea26b0a05a8a29b9761c7838c30a9b3bb09074bb4fc7c9,python310.dll (NitrogenStager)
sha256,fa911a3639ae77f8f890fb76ba1ab78c2ab17ab80bdfec381ab6a9ba8fef32fe,python310.dll (NitrogenStager)
sha256,fce4ca6e37d466154ed49871ac31116473b1c72cf36a9653af80e9cc83edb358,msi.dll (NitrogenInstaller)
sha256,ff32997b85098d2bb0f1adccc5dc4e608a869dd54fc8539482788855d53d43b7,python310.dll (NitrogenStager)
url,https://conteudos.doutornature.com/wp-content/upt/upgrade/scp/v7/WinSCP-6.1-Setup.iso,malicious installer
url,https://dayvisson.com/Cisco-Mobility-Client-v4.iso,malicious installer
url,https://dayvisson.com/WinSCPSetup[.]iso,malicious installer
url,https://events.drdivyaclinic.com/wp-content/task/update/WinSCP-6.1-Setup.iso,malicious installer
url,https://frugalprinters.com/wp-includes/WinSCP_setup.iso,malicious installer
url,https://praybig.us/wp-content/smb/srs/24/5333/WinSCP-6.1-Setup.iso,malicious installer
url,https://protemaq.com/wp-content/update/iso/6.1/tusto/WinSCP-6.1-Setup.iso,malicious installer
url,https://snbl-art.com/wp-content/wp-content/WinSCPSetup.iso,malicious installer
url,https://softwareinteractivo.com/streamlining-team-collaboration-the-power-of-for-seamless-file-sharing/?gclid=EAIaIQobChMI3aXW7fjA_wIViN3ICh1NKQW6EAAYASAAEgLEZfD_BwE,
url,https://theboxingshowcase.com/wp-content/dht/asxdfj/gkgy/cvgkjc/WinSCP-6.1-Setup.iso,malicious installer
url,https://theboxingshowcase.com/wp-content/sdrg/sdhr/dftjft/zsge/TreeSizeFreeSetup.iso,malicious installer - linked via Bing
url,https://trafcon.co/wp-content/plug/des/sus/cisco/anyconnect/cisco-anyconnect-4.iso,malicious installer
url,https://usahamenarik.com/wp-content/WinSCPSetup.iso,malicious installer
url,https://winsccp.com/eng/download.php,
url,https://winsccp.com/HPVrxkWv?gclid=EAIaIQobChMI3aXW7fjA_wIViN3ICh1NKQW6EAAYASAAEgLEZfD_BwE,
url,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjdpdbt-MD_AhWI3cgKHU0pBboYABAAGgJxdQ&ohost=www.google.com&cid=CAASJORoMTvTG6B0NssdBORk4BeBv-cgApt6SnzgjBh0K4SdC7o9pw&sig=AOD64_357HAnG_N_KTXouBfGuvvk5-N3tQ&q&adurl&ved=2ahUKEwjNi8_t-MD_AhX-LFkFHZjTDr4Q0Qx6BAgFEAE,
url,https://www.yb-lawyers.com/wp-content/ter/anyconnect/AnyDesk.iso,malicious installer
