Indicator_type,Data,details
sha256,53bede47144ea0e61ab6a635fc17cc2782e8278241512da2e2170bc14a0f700a,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2022-12-28"
sha256,547eb802e7bbf40ce6b5e219baad84152677653e92eaefeee7ce4226cf312058,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2022-11-09"
sha256,55b106d13d24b105e35b2aeb4d2b33f1cd5bb0e08f84c836208687ff2881eb96,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2022-12-28"
sha256,592d4056b36cf298da2403a6afb9a52162f1f377085ca75d11a09bc2f5ae5434,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2022-08-03"
sha256,5cd02b515762b7b07771ed6f1b538fdf0962b83940804a52a1bdfe821fec3ed7,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2022-08-03"
sha256,5f6fec8f7890d032461b127332759c88a1b7360aa10c6bd38482572f59d2ba8b,"Signed by another certificate with thumbprint A29E53F93B6BB31BC26997449DBDE4E218217CB4, compiled on 2022-06-02"
sha256,6162bf8a5f8359e1e8eeb40d571ddb50ae88c40b8afc3d25dbf6a0db7f75a08c,"Signed by another certificate with thumbprint 8B2627FECD69A799EC949D7989D90D4B3E8801AB, compiled on 2022-02-14"
sha256,621fc2c2ca7d6eecb4569d35a5a3d435281862cec803b7f4f8c06199bc6326c8,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2022-12-12"
sha256,6839fcae985774427c65fe38e773aa96ec451a412caa5354ad9e2b9b54ffe6c1,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2022-08-19"
sha256,6b372a47384872aaa703350ec37686372fd7eddf2145b8bf419a16145e966478,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2023-01-09"
sha256,6bf7fb60c2c93dc17ba5dbf24f63d1ede4615fc53e3f6643bd676f2e9c9d4c2b,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2022-11-09"
