Indicator_type,Data,Note
sha256,f0c43fccef7aac3b05a3a41cba5e77169f986d1efab526b653c02aa0b4f0f942,194.180.48.211/frog/Forjagene.vbs
sha256,c914dab00f2b1d63c50eb217eeb29bcd5fe20b4e61538b0d9d052ff1b746fd73,194.180.48.211/nini/Leekish.vbs
sha256,98bb3f8295ccac02a4e582b38a6903273ee50aff223707521982409b4c04e992,194.180.48.211/russ/Kionectomy.vbs
sha256,6fd1085c9e5e041727cdd1a9b1135299590ad811ea075638256f2817d498d79d,194.180.48.211/russ/Kionectomy1.vbs
sha256,b5869cb9bd976620e9faa16645b66d6aa03e9223c2c5c26f68ebeb27e20c0abc,194.180.48.211/russ/Pigelil.vbs
sha256,87dc4e513a7023f1b8d38499c6fede4e6ab7ec563e1f0dbbd5e9b365e213d145,194.180.48.211/russ/Sammenstyrtningens242A.vbs
sha256,926fe7f70c86b5c16a632344191820206772f8c53ac075446b138d209a1bf22a,194.180.48.211/russ/Sammenstyrtningens242R.vbs
sha256,ee87e8e9b53378dcea4dd36cdaa9da7e0adaad34e25a2bfcff259b10fc4c7def,194.180.48.211/russ/Stork.vbs
sha256,98bb3f8295ccac02a4e582b38a6903273ee50aff223707521982409b4c04e992,194.180.48.211/ryan/Kionectomy.vbs
sha256,6fd1085c9e5e041727cdd1a9b1135299590ad811ea075638256f2817d498d79d,194.180.48.211/ryan/Kionectomy1.vbs
sha256,ee87e8e9b53378dcea4dd36cdaa9da7e0adaad34e25a2bfcff259b10fc4c7def,194.180.48.211/ryan/Stork.vbs
sha256,ffe477577469c87c606e0cbd9d0da68446cd8d895e4f4ab0a083f0a05ac8ab20,194.180.48.211/sara/Vejlensisk90.vbs
sha256,c696155091e3cc0099b483c9b7356bc9cb62f69ab9dc1cbad38e4cdd69a893a4,194.180.48.211/zara/Bydeformerne.vbs
sha256,3f8d5e1d534fa88a05f1c9368643466fdd9525385d05f90dd6f4431c6a932290,194.180.48.211/zara/Galgenhumors.vbs
sha256,3f8d5e1d534fa88a05f1c9368643466fdd9525385d05f90dd6f4431c6a932290,194.180.48.211/zara/Krankleje91.vbs
sha256,036a1d5da899b6e3616bda59d6e5f5d1760d726e88a1373bbdca83f0d82451e6,194.180.48.211/zara/Run.vbs
sha256,ffe477577469c87c606e0cbd9d0da68446cd8d895e4f4ab0a083f0a05ac8ab20,194.180.48.211/zara/Vejlensisk90.vbs
sha256,c696155091e3cc0099b483c9b7356bc9cb62f69ab9dc1cbad38e4cdd69a893a4,194.180.48.211/zarath/Bydeformerne.vbs
sha256,3f8d5e1d534fa88a05f1c9368643466fdd9525385d05f90dd6f4431c6a932290,194.180.48.211/zarath/Galgenhumors.vbs
sha256,036a1d5da899b6e3616bda59d6e5f5d1760d726e88a1373bbdca83f0d82451e6,194.180.48.211/zarath/Run.vbs
sha256,34a689fc4ca1f0b001bee4b0640487e98fce0c67ec67cdf076d86efe9b10072f,5.8.8.100/signal/Pilhenv.vbs
sha256,87dc4e513a7023f1b8d38499c6fede4e6ab7ec563e1f0dbbd5e9b365e213d145,5.8.8.100/signal/Sammenstyrtningens242A.vbs
sha256,926fe7f70c86b5c16a632344191820206772f8c53ac075446b138d209a1bf22a,5.8.8.100/signal/Sammenstyrtningens242R.vbs
url,109.206.240.67/xlog/DdAdInNfsYBqwTHOXVdg104.smi,a1402e3d5679e4613572e46f328a9851b58c06af66bd3c5d721d34ff38768b8e
url,109.206.240.67/xlog/Embus.sea,31af880d26c1b7e38e48808b8c0dc8cb559a87cb4f9c53cb29ba814300779a96
url,109.206.240.67/xlog/HRwebRmz229.bin,b0e25efae0f58ec99fefe1aa4fe88ff57ea6d2ffbf61931d5c7d622e76c60e0a
url,109.206.240.67/xlog/imZdjzBNviOCSMAcujoQo182.emz,db8f07dad19acc99f9078c7e3c873d9542f422b32e09402e8eb166fbee9a150d
url,109.206.240.67/xlog/Ismiqb181.bin,cf311a5bd7a1da3989fcd28caffc6fe8f3d5bc586588c5506421caebd000cab6
url,109.206.240.67/xlog/NWEaiJEiCmevJqETFS47.pcz,48681b7a871998f0bd71a8b55b82cc6ff1170b8c52e81bdd9c4bef54ad04520b
url,109.206.240.67/xlog/retskred.aca,deb3a592161a52140c7ab80c037c20ee8e405c296b5447cd6f592816c81794ce
url,109.206.240.67/xlog/TkhoWbbRT180.pfm,25a19206f7f989d1197e64a3f47f74cbc8911c847a7f6a9c76131d52e46c25b2
url,109.206.240.67/xlog/waRzdUl247.pfb,09b1fd66b0ec4b57861db145bf4cefff0ee5634eb5a156d04d04f8495d309dab
url,109.206.240.67/xlog/WATPCSP.png,a5ac856ce08f5526b013044067e1e74ce5aedf695a4a964025349059800ea763
url,109.206.240.67/xlog/ytcJMQnIg146.toc,0a542e1d7444df99461de2ca49a3859aa1a35b458f8f77b205aea0d14e6620a2
url,5.8.8.100/signal/DWKZN62.u32,73e714ee977ba7c4cd32f52539f94031b52fcaa90448ceaeb910fd22932e9d4e
url,5.8.8.100/signal/FhQgGIViPzDcYLTxWDvRglZ48.afm,c5be50f35fbda3fd8b996659fe3b1a648ac3eb4ded45825a0c158a1303cdae5a
url,5.8.8.100/signal/Hygiastic.psm,dd7e1d8f39581e3f90e51e082e11344eed2668c0377439d769ddf5422b4c66fb
url,5.8.8.100/signal/ImnkLSwWhaQsuZXYPs172.pcx,27806a2c2a1246965d0e15d20dc6f3d46df0cb242c3296311f40dd63991cd02c
url,5.8.8.100/signal/JKmoXyx233.prx,149ee334dc6cd0593aec294f405a9390623ab198080b476122433048402f93b4
url,5.8.8.100/signal/Palatophar.pcx,fc1f9fc56f9b87242d205d67c40e5772c0a510650d83f1b7429dd037754c8eaf
url,5.8.8.100/signal/PwkejoRQqhGAqogDJJHh197.afm,ef1065677b256644113648caa26d75512bea881c4953396da561eae8231f56f3
url,5.8.8.100/signal/TpRIfutRxWlhn224.dwp,18d7be1dfaed274670ea6cdd3d45e864cdca173d5e71753dc69910334d0a92fa
url,5.8.8.100/signal/Traverser.dwp,2cf0f2c5d665438ac31a6b2880cd8ff637e7d4339781b5f2d26e7bc6058b737f
url,194.180.48.211/camp/Benzidinos111.mix,6e6c4ffbf5b3ba6d1137a932b1077d16b5f8dbf3e8856fc11d8b60c78f805035
url,194.180.48.211/camp/cFqIeEovpWzg88.pcx,91ed07f83f7dd31c7245513749b788cdf613031585a7e81dc575b35c7a0ff8fa
url,194.180.48.211/camp/HjwmCf193.jpb,db2e909967789a863b911ec123d004aa4f75de2a2d8d04f63c21bd803dac3011
url,194.180.48.211/camp/SrtKzogTXjPYFLVOeTcOb222.hhp,0aac60946db4b4cc8bf5dace11c94e028d54ed09b2a1a5848a457f3f56212fed
url,194.180.48.211/fresh/bENSeAN192.psd,4558be769e542bee0dafef4c9dab40e9b11d3b0764a0e85f29206b68574d3c68
url,194.180.48.211/fresh/NWcRYcHRWzwnAzIm238.psp,490d6e1bf81f593b2919595570697a1b78e23c6967be707147908d1fa2ca0cd4
url,194.180.48.211/fresh/PhotoViewer.png,223dfb25e333302b7d976a0435fc2502fcf15b30f60be34d90aaa6d28838feb1
url,194.180.48.211/fresh/test.txt,0f8d51f65c8a51f651e16115a76329cd99008167570660fe2eddf228631ac05a
url,194.180.48.211/frog/a.exe,da669632c7379df872d3e6aa20cab9107e0efb26e248b984913a8c80d30ec41a
url,194.180.48.211/frog/Barberers.com,f9edc031e26e9d37e740acfd3739cc3f0a442bb14ec34d9b2ddbf79db56e073f
url,194.180.48.211/frog/BdNnKAT84.bin,de11c14925357a978c48c54b3b294d5ab59cffc6efabdae0acd1a17033fe6483
url,194.180.48.211/frog/dnsJRjnsci193.sea,1e4f44290182fa0f8629c6e2546aeef02f398acada223758ad63dce79a1cbffd
url,194.180.48.211/frog/eXERSWUwPhDRA108.prm,12dbf7bec89d7f0c7be791091e1cf758c2bd1176919582a9160ecc999539f84a
url,194.180.48.211/frog/me1837.aca,d5b62011046b65599a3ad761f2f8b70eef63e1dc54143dfb68e17fd12085efba
url,194.180.48.211/frog/pkCDOWfTjbiYrEIgis164.bin,03924b9d8b30fd56df7ae93e416c98899fcae58c0a3fbf5a2639f1d205340427
url,194.180.48.211/frog/pLFTYWyfdy208.bin,49a2feb656d5f2654f30b6a6f6850944aa0040be7eeea95506dd07070e319516
url,194.180.48.211/frog/qsUAyWsNZIFgZNiYZo14.mdp,769435a35a16660344844ee041222475ca18468bb28697611db82835895ee75b
url,194.180.48.211/frog/qwUpjaVmJRNYT153.hhp,72dcb9a5d9f16a7607327a1d5dc43f289f1cdad4edcfba1d7c6a195b49d90c1c
url,194.180.48.211/frog/rxQIHWukG75.lpk,0256923b5292c88bf3f3df42a887072250b3cc6f6be3d6be312ad934c53649b1
url,194.180.48.211/frog/TuPumVGXDgO254.pcx,6846486566b39702de03b32781aa040d2edd62e8b468a2359e76fdb2a1f6dc63
url,194.180.48.211/frog/TvotBAgMYIwPeSBLbfMA57666.mso,6e085689f2bfae645035553891e01de8ea155a62dc7d2c7e1b7c8ebc0bafd9d3
url,194.180.48.211/frog/tzrLyySZyphaTO219.bin,92694c98c89631ecbdfa8621e7535385f5e6926dcbbb46fa1cdc528291419e77
url,194.180.48.211/frog/utMUdsZLfSOLnp157.pcx,ef49069b1e93beed6fc3dd40046fd919aa2ca45afd92d74c73041b9fc6c7462b
url,194.180.48.211/frog/vbgWu47.bin,f760617cecbb0d05156470d21986cb4feba5f88a89fb2522a1263327dfb71882
url,194.180.48.211/frog/ViczcdEmTH19.csv,1fdea273ef4d286c30f446cce6acfb42aa546118e7950b29de96b3df766ae07e
url,194.180.48.211/frog/WqnRP253.psp,a67db6978f585c368f50ed6be9efba8b11ed7f44d1e9d454ee2813a68fc22e81
url,194.180.48.211/ghost/TvotBAgMYIwPeSBLbfMA57666.mso,6e085689f2bfae645035553891e01de8ea155a62dc7d2c7e1b7c8ebc0bafd9d3
url,194.180.48.211/londer/a.exe,da669632c7379df872d3e6aa20cab9107e0efb26e248b984913a8c80d30ec41a
url,194.180.48.211/nini/bZDFAvSvABtrBrDg148.bin,436e81cc1c09b9fe3fe3fbf2503f17a80422b476276d3b8c6cb2b8ade417614e
url,194.180.48.211/nini/EAbsGhbSQL10.aca,7bd663ea34e358050986bde528612039f476f3b315ee169c79359177a8d01e03
url,194.180.48.211/nini/safe.exe,a373f01a9cd3e3db683ab892027c1a529bdb7f1f8a8c114be940cd10a27366c7
url,194.180.48.211/ray/tzrLyySZyphaTO219.bin,92694c98c89631ecbdfa8621e7535385f5e6926dcbbb46fa1cdc528291419e77
url,194.180.48.211/russ/1.exe,0d9cbc0e94d01e763facaf37991bce5c6b466b552961e9f136214004085d912a
url,194.180.48.211/russ/2.exe,98eee0791e9e33bc16140ed6dc2a68ace15cb42f78408790e0278bc24c8416a1
url,194.180.48.211/russ/Anlae.xsn,411f0a9ea08898d392394095e2554199b0372cd6d170d11af28fe255a72c04c7
url,194.180.48.211/russ/DKkRMb178.toc,7b30f7becd90646f64b632be4c55385cd34062564605d68803c0061164bfe13e
url,194.180.48.211/russ/GbDqTcwoJPaoDKRxxeN153.csv,c9e0b3cc98af3696c80319a4dc29a0623643e313a8209f43559b194def9fcad7
url,194.180.48.211/russ/QquelpXZTCaOTKsGZADpqSS183.pcx,b2782a6d2195b664bb53fcbc3aad61c5c0e668eeb64cef028216c6fb05a65f6c
url,194.180.48.211/russ/RaNrYlz54.inf,da36db6283513455d6ff410cdff450cbe1c732166837ff7338a68b373a9b14f4
url,194.180.48.211/russ/wHRrmgTXBoL79.qxd,03c069290892e1516a4afd98190aff00771f8e083238366212cb56abf434e233
url,194.180.48.211/ryan/1.exe,0d9cbc0e94d01e763facaf37991bce5c6b466b552961e9f136214004085d912a
url,194.180.48.211/ryan/2.exe,98eee0791e9e33bc16140ed6dc2a68ace15cb42f78408790e0278bc24c8416a1
url,194.180.48.211/ryan/Anlae.xsn,411f0a9ea08898d392394095e2554199b0372cd6d170d11af28fe255a72c04c7
url,194.180.48.211/ryan/GbDqTcwoJPaoDKRxxeN153.csv,c9e0b3cc98af3696c80319a4dc29a0623643e313a8209f43559b194def9fcad7
url,194.180.48.211/ryan/QquelpXZTCaOTKsGZADpqSS183.pcx,b2782a6d2195b664bb53fcbc3aad61c5c0e668eeb64cef028216c6fb05a65f6c
url,194.180.48.211/ryan/RaNrYlz54.inf,da36db6283513455d6ff410cdff450cbe1c732166837ff7338a68b373a9b14f4
url,194.180.48.211/ryan/wHRrmgTXBoL79.qxd,03c069290892e1516a4afd98190aff00771f8e083238366212cb56abf434e233
url,194.180.48.211/zara/aMTieiOgxIUkhcD184.sea,ba901c73936d0f794e0ef621a7f3c2029d8b8194a70a0b4d6e6740ce8efc18ec
url,194.180.48.211/zara/BWTqkhVBTwqHOjTU152.psm,0284d5b3329696130a0cff5c73c2eddb76c2927a72ea7a868ba6d72344172f18
url,194.180.48.211/zara/Dedepseud52.toc,a0eb3d21e512a48dc5235b72ede39abcbda707e04435d73be4d2735493dac0f4
url,194.180.48.211/zara/dll.dll,b856c7082522a173c2b70c55b3c035960912d387f271ec3cf485a62b3bbdcbae
url,194.180.48.211/zara/eUrPFDPkrUBfJVBn139.xsn,eb9ca246694ea260825e50900ebcb7d11406a5b0f29714d6a0dda6bf79b6c557
url,194.180.48.211/zara/FgUzhlBcwPNK142.dsp,5a6c63df51978213cd14ba68dcf66da0bbe5a08279a5966fda120d61e0a972bd
url,194.180.48.211/zara/HEJqIbkEKJijEkvmqCVsrBcW220.pfb,34791f482967d3838979c4c4bd8053c1fc4398e36677997d32f62fb9df580a4c
url,194.180.48.211/zara/OeFKJuYezy126.psp,ba8181eb09e59b283843191c67629e04f7c490e2fd800b973dc1290caf88fdd2
url,194.180.48.211/zara/PhotoViewer.png,b856c7082522a173c2b70c55b3c035960912d387f271ec3cf485a62b3bbdcbae
url,194.180.48.211/zara/Thym.pcz,b72e2373041850881f55305147ea1fcff10aa51915455dd27f9b409ad42abce1
url,194.180.48.211/zara/TPTemLk218.rar,4c3b1df153ad1725556e8c77775a4510ab3f69441ade1802d69660900061e405
url,194.180.48.211/zarath/aMTieiOgxIUkhcD184.sea,ba901c73936d0f794e0ef621a7f3c2029d8b8194a70a0b4d6e6740ce8efc18ec
url,194.180.48.211/zarath/TPTemLk218.rar,4c3b1df153ad1725556e8c77775a4510ab3f69441ade1802d69660900061e405
