Indicator,Data,Note
Description,File indicators from https://news.sophos.com/en-us/2021/07/22/malware-increasingly-targets-discord-for-abuse/,URLs where file was hosted captured on 2021-07-16
sha256,96424A9082CD3B077D7C2A18D410219F26AB8A896FF594AE7BE0BFBF133D5FE9,cdn.discordapp.com/attachments/142217363830472704/424631757111951361/forge_1.245.56734.exe
sha256,56BC0E9D00F7E8CB1458FC719BC334393EF397EAD479EB0C7EB89B46CC870094,cdn.discordapp.com/attachments/156741715414220800/183526971853111297/server.exe
sha256,D261B50D609CB7BFF0F0CDF1F7A7C8C0D730A3696F47FBD137E4F5BFAA2DA357,cdn.discordapp.com/attachments/158262508845531136/194123515518124034/launcher.exe
sha256,6EF3E1FC945DC884EBD513D4D832086BE083E1B3360F354A332072A9AE7B127A,cdn.discordapp.com/attachments/168277884484452352/467762526336319503/465465.exe
sha256,8436B452509DF953B5A4D32728C8191A9F1AEBE2D7D1A6864F52ABE2EB9C16CA,cdn.discordapp.com/attachments/199597383875559424/843169171282198528/oneafssaz.exe
sha256,6ABF351A6D1894704252D00F8548E4045884D295114484F406B304DC032A467B,cdn.discordapp.com/attachments/203661575876378633/769286388771192882/porrita.exe
sha256,925D8436D58CA689C787BB704AF9CE9F3D50F11CBD2035C0648B2CE3FBD3E4B0,cdn.discordapp.com/attachments/207846197392703488/776415684132732948/sendhookfile.exe
sha256,C309AC2C1070592792F435163BB6B8520DF74389E046D7D6E0402711A4109C00,cdn.discordapp.com/attachments/234318248542339072/300206312682422272/d3mfree.exe
sha256,7E0D64F96562C8E47DD8428B2C1CD31B0499F48D7A7C555FD9516E69A065C3A1,cdn.discordapp.com/attachments/248188329076588544/339080675984670730/injector.exe
sha256,5BE6048B63D7CC7392CC7144F0076DBC824447B2B6DB41ECC2D496A9F5851B71,cdn.discordapp.com/attachments/256454451060015104/493761558909026315/123.exe.exe
sha256,053BD89D56977E8EA11C50569F78B886C1700DED19C3771BEC539B31FE513B5F,cdn.discordapp.com/attachments/257007299409870866/310121750216179712/kaiogaykkl.exe
sha256,DDCB1B119E65D652C4569B9463518D7A86703A69494477458003EDF1C4E28B01,cdn.discordapp.com/attachments/257212938333454337/586615797519089746/sbrosportov.exe
sha256,A8C343AD6C0DDAA03B76ED0D2B88AB8D120B69236ACECCABCC130686D7A33A8A,cdn.discordapp.com/attachments/259967503638200320/463419987122454538/public-5.9.exe
sha256,B877BC6E5DE19CD567EFED3F37F7894018E6926697023952AE7123A5A56F4B83,cdn.discordapp.com/attachments/263726404112351234/517747694987509762/jojo.exe
sha256,48F25A680FB595C6C4B260FC3A45F0776A0CC5E17DC02970F9056BB399B830BE,cdn.discordapp.com/attachments/267709535525797888/510545078201221131/f166ae60c36a5593e91740d0b828b282fb603d23eb82d5daa5.exe
sha256,39587852ED0563DAACC51C6EE37ED1824280251D05FDE3CD55BE61EE6F065054,cdn.discordapp.com/attachments/268736468501921793/413296996946804757/dfrem.exe
sha256,F51667549ED191B2F6C3A27E027BBA9E0E72175B899F74974B43DED649ABB54C,cdn.discordapp.com/attachments/269937860423974913/418872797771857921/login.exe
sha256,061729E6EF74AE9BA36C5A4603FD4429BCCB32E73DEE955ABBFEEBF86A3FD920,cdn.discordapp.com/attachments/277847020960481282/293810756850548736/d3mfree.exe
sha256,2BA1E9C0C6DDF75062A05F6A5A619E9740305957A09BCAC46502B56C5E14CCAC,cdn.discordapp.com/attachments/283314875957248002/440399089817878528/winhost.exe
sha256,120475F9CA412EDA4E26D2327F916370F1C83C53B3BB82199AAFBA257F2F2F0C,cdn.discordapp.com/attachments/289390433606434816/329559034069778432/reborn.exe
sha256,8336D57AECD708DDCAD91B80E29AD98C6D33F9268F638E28D5B27A2A77F0C596,cdn.discordapp.com/attachments/290424152756715521/498902395720433675/748a572709c043dc.exe
sha256,6893F910BD387F72A9731A18601E202EE6442469676D23E9A1B26A81A7354E02,cdn.discordapp.com/attachments/290521216555548672/475775935992430612/2281337.exe
sha256,4B47C17AE7D3BDE6E3E1B0EC5A6A217D21FDB4DBE1999AD3E0E2C07E6E2CDE3A,cdn.discordapp.com/attachments/290604434927517696/540862076386541568/80ce244605a70f58.exe
