"Indicator_type","Data","Note",
"domain","www.toroeph.com","fake web app site",
"domain","www.towerresearch.io","Fake Android app / website web JSON backend",
"domain","www.towerresearch.me","fake web app site",
"domain","www.traviewx.com","Sour Grapes fake app download",
"domain","www.uhmext.vip","fake web app site",
"domain","www.vanecks.vip","Fake app download site",
"domain","www.vbitexp.com","fake web app site",
"domain","www.vexep.vip","fake web app site",
"domain","www.virtues.vip","Fake app download site",
"domain","www.virtuya.vip","fake web app site",
"domain","www.wbexcd.vip","Fake Android app / website web JSON backend",
"domain","www.wbexdk.vip","fake web app site",
"domain","www.wbexio.vip","Fake app download site",
"domain","www.wbexqi.vip","fake web app site",
"domain","www.webswaps.vip","fake web app site",
"domain","www.webullxa.com","fake web app site",
"domain","www.whitebitx.com","fake web app site",
"domain","www.wirexsrj.vip","fake web app site",
"domain","www.wisunomkp.vip","fake web app site",
"domain","www.wodkbv.vip","fake web app site",
"domain","www.xytap.vip","fake web app site",
"domain","www.ythdttps.com","fake web app site",
"domain","www.yzfsx.vip","Fake app download site",
"domain","www.zbap.vip","fake web app site",
"domain","www.zbgrp.vip","fake web app site",
"domain","www.zbob.vip","fake web app site",
"domain","www.zbxs.vip","Fake app download site",
"domain","www.zcmarkap.vip","fake web app site",
"domain","www.zcmarksz.vip","fake web app site",
"domain","www.zengoap.com","fake web app site",
"domain","www.zengoap.vip","fake web app site",
"domain","www.zengous.com","fake web app site",
"bitcoin_address","33a2HxDRfXQcxh5q8UbZ1smdW3wYt9BrqP",,
"bitcoin_address","38ZMie5HzXZnhaorr7GykrNXKhjc6ptmdp ",,
"bitcoin_address","3PzFuEfE9APnJhDtKAZgLD47wCwBKbjXhX",,
"ethereum_address","0x03f34be1bf910116595db1b11e9d1b2ca5d59659",,
"ethereum_address","0x2B639ab21e8404B8da81F50089D3377054Ea7ecF",,
"ethereum_address","0x71026c56eeb37182f8Fd902D1E35B3741660bEcd",,
"ethereum_address","0x88a01E49628D5B4214e4ccC3fB1500c225948fAb",,
"ethereum_address","0xC627DD42C7e09A82cA5912126de8F15e1d81EDEe",,
"ethereum_address","0xdd33c424b03551e141e6b0e01ba774fe8572b862",,
"ethereum_address","0xf8593bA6ac7593285692Ad754830b69d924efae5",,
"sha256","040f8e516bc4b3510856d18a8eba341cfedb05be1f1e9b0b47a9fc09036ca40a","fake Android app",
"sha256","0bb1c728d75bcdba69e5ed0560234f6eaa46d5533d6dd388e1d89bc20b6415e2","fake Android app",
"sha256","15f068f2f607076fe2dbdf4de72b45af8d6d53e948bcccad6a92abea077e7aab","fake Android app",
"sha256","1cd60c1183ae3c4b43a56cf9cd16c53ea2e031ca597c2fc5a1c06ae7e601cc9c","fake Android app",
"sha256","229c06c350b73601da01399f0fe0c14c57908a032c7d7b9b2b833defef96ac98","fake Android app",
"sha256","28b0de5783628ebdaa296cf75b09db3b86acfdfeb1749be38a97b50421d841b2","fake Android app",
"sha256","3bdb798cf62878c176eb0f2a5395fbd4c869e67ac21e1a6a99afa3bd5755c7d5","fake Android app",
"sha256","3d49f28d5384002fc877e6ddc628bb723d8afeb9afbc978e71ec4853463073b1","fake Android app",
"sha256","4e706e1b1d37cd71d09e3419fc28c9489dcdfa3fd6bf9638eac639bc64a32f63","fake Android app",
"sha256","630ab5eec96e52f4bd991888722cbc61d4e0bde525be9e572e85e5416918bb65","fake Android app",
"sha256","6747f718fcc2e63d8178057ce975e20a22c6ce374da8f846301951346d29e23c","fake Android app",
"sha256","6e73f1e51c01ab1797fe67475d9bda7b32fad97366bd1a810695e0739304c863","fake Android app",
"sha256","85d0533e2624d6a626b51f97e1b398f99ec3285c428447285277acacf3af6ecb","fake Android app",
"sha256","8f40c1c8dd281d63ca60e38d0b533a68aaa4122967d42339c2ca00ea9ad1ecc0","fake Android app",
"sha256","9d98a119e332586d0d69a303285246246df939e92d1d72ff2e3dc86a9baca677","fake Android app",
"sha256","c9e179fb0781a015bea4f3fd34fa27e67c5cf532d20596822df8374cf131d766","fake Android app",
"sha256","deabaa3b9b02d8b8f7bb8315ce0d54531502ccfcb78d64241bc9b3642f6b33ee","fake Android app",
"sha256","eda389a626d9e54c48498800a614e74a335cffd26d807a0737bb95e28a3e2a33","fake Android app",
"trac_address","TJaGqiPBzFmHVsKkSzQ1KeUm9s6DfumC6s ",,
"url","https://app.btccdn.vip/BTCC.apk","APK download",
"url","https://app.jlnrbc.vip/Exmo.apk","APK download",
"url","https://app.ovezjx.vip/BearBitFTP.apk","APK download",
"url","https://app.xkqnqz.vip/Kyber.apk","APK download",
"url","https://app.zmsepi.vip/Bearku.apk","APK download",
