Indicator,Data,Note
Description,https://news.sophos.com/en-us/2024/04/26/malware-campaign-abuses-legit-defender-binaries/,Malware campaign attempts abuse of defender binaries [published 26 April 2024]
IP,185.219.221.136,C2 server
ip,185.117.91.230,hosting site
ip,149.248.79.62,Oyster/CleanUpLoader C2 server
ip,206.166.251.114,Oyster/CleanUpLoader C2 server
ip,64.95.10.243,Oyster/CleanUpLoader C2 server
sha256,09ffc4188bf11bf059b616491fcb8a09a474901581f46ec7f2c350fbda4e1e1c,
sha256,1bad86039f7189f0c143033ddc28121ffe9a4c438becbcec123bfb6a01a11885,
sha256,25e5a54741a0aeefccc669802c30315ba42cc47a99665b87ab0373655939f052,
sha256,2707610b0eba853264e3cce793b35162d40359a57ff94d998a31524bc12a508f,
sha256,4001ca434aef1efa8738bcdce056820150a9abc45e8ce3690d9cfc2188e96f0e,
sha256,5a941af0b30095133b88c69be312ec6a04a409ee2dd331e781f9642cd97347f0,
sha256,69390012180a34df94f1d2f0e10f98a2f7666389c053a2ed5ff4986c30519b14,
sha256,7206eafc475f246e7c9c258afdaaa64b5193c1c7427d927be417e53dec890078,
sha256,847042a1dbfe2bbe81a4edd81bd710f156af4260dddd1289e6a41e9416360934,
sha256,8ed1ba513b298c2dea57d5d47b3bdb8dc3d622e8e8b64ed244633ae8ccab8cfc,
sha256,919ccfa399f0b60f9b0680b0325b3415ab7ef4a357765c305756d56017b1ea9b,
sha256,ac851c7c20500893d64adf7522f565d02b443f6ab6173963f1bf18b470355287,
sha256,b90c804b11c532cb97d2e306b29b64f80dc890121bc73ceb4b355e9fd65fdcf3,
sha256,c0fe9600ecb15e739cc6950e10ea56c31c1d47d0e990dec0b61a263f623f1043,
sha256,f9aee9f92ca0406c7cdb37f83cccbb6cda725a374b7caea190c7d30ef03bdff0,
sha256,2b78c2b7d2c9a8f5d1e785e8afc92a03da52a53879d93238207e8434ddb661db,
sha256,78802d5b705042a8bab3ecf8597c611f58a37b9bc1a55f382c551ac6e35ae928,
sha256,00e18b6dd077d1653a31266e11465e1a9c66362f35eff47c4403850de9370824,
sha256,396308b7abf201b80232084a7313d5438b80b9167b91f0bfca4c8da8c7b3fd7d,
sha256,67ee8b52692857acfc54c96fc67b3b092858ddc9568f49abaaa5d5c786a17163,
sha256,97e08d1c7970c1c12284c4644e2321ce41e40cdaac941e451db4d334cb9c5492,
sha256,c2da4321d091d414568343cccc8006f780987d5f4c70af264039f736536c266c,
sha256,000ac83fe38ca68495fc023c4b449f86c9d71b9583e0a7b4713cdc246a67306c,
sha256,02f9e68c32246b0cfb98f07117050c52ee0a648ece2cd4fcd55d1c7861723fab ,
sha256,036c8363e4bd89c72883921e766ee2d679a7ea24ba5533941bf3e71b4b8050da,
sha256,0700cae07b1231b575051b8e29e74204f67082afb8a8e2a65de53726d54511b3,
sha256,0e244c6cec7b9ffb12e2d0bca91ccd7a4633189e96b508ea32be7b9eccf186b3,
sha256,0fda29f0c20f799d9dcd6ea205533066da4be578e2014fc6824abd26130c3ba0,
sha256,1137b149e0bced9e6700658b526bd7eb27f59e0850bef8ee843359d887f6f131,
sha256,11bd2f957e6e59703bd92d284c5c832c109b40b8a5842d3983f870906618f8f2,
sha256,1776bed93c0cc57b81c04ee042c11b2079e8dc9102452251e81e298d074462c6,
sha256,17d74e5ae960e61f455c750dbd00c0350f18a16f1ae867b0361cd53a633c8f14,
sha256,182e08bf5ee5ea1c32270979ce3db9f12bc300922b89715222db003f75dded7c,
sha256,184e53af04ff158a22facbe4499694223462bfed7d6c96e83ec1be69272348e4,
sha256,19f1f81142a02fa639d523cc3b93ea90957602403f079832e604c09b49743666,
sha256,1e10dc67146c5aa2fdd6913670dd06c59bb021a4ddfc8b1713e7464d43d2189e,
sha256,1e69e27b535dc21998b6ff09980dc2405fd7a708bcf4196821abae77e8609c50,
sha256,1f421a7b26672dbc3fbf44228707d71c91e8e354bd4ac2f0581ac6a3cd54b4fb,
sha256,233815d80ef296b355d37815565e4279b22e8849298e059db2036adf7e18520b,
sha256,23ba8f3df5acbc3d415081885cdc31bbb1c2f036d1230c01530e2385a7bf9016,
sha256,2a6c12965cd10eec9972db4a12a01f2479f7b8fff463857f126762d965fd2ff9,
sha256,2ab68c0f85723801a23ed52536e66a2a063dcb4bb43bbf6d8ceff75e29823ccb,
sha256,2e078766bc68f65ac87fbfdb9ccaa3981ee097a8ca0729b9be552f09c9497693,
sha256,30a98dc57205976c73da2f404890c899c7d84db61572e1dce0e80b3f06b48934,
sha256,328b07e33759c6666d7cce2f181430f3cfa53690bb3c3360dc314ac6bbd3700b,
sha256,33609f17db804ab7ca6976a2bc6ef29d495f5ad7ad6a0043756c8a591a4ef269,
sha256,34e2957a0bf800a5ad1be4f6af06b55feca2c944a80b6ab13ebf9c30f8fe14c8,
sha256,3a993c44e39c426239051b00aa692b7e7d1b6092a2087af04b3f3bc3a3c79208,
sha256,3b63ea8b6f9b2aa847faa11f6cd3eb281abd9b9cceedb570713c4d78a47de567,
sha256,3ba4bdd4bcea3f61fb13239dda807dc46d43af3e0f4d3b80caaac625e07a6cfa,
sha256,3e2f5aa0ac14191d983982d46ac1a77c9e4b36b6d5fd71cc26bf19cb29c4723a,
sha256,3ed098f6101a96a18329ec446027b39397e2b19501b3ffde98a55b361c3c6440,
sha256,42a5fa86e9a20424e02c560591a122dd3f00fc49ed0482075193baafc4dbc5e3,
sha256,47bb8a605056140781c84c1915efcf142855bf116112d48024fa72f6e5cf04ce,
sha256,4933d95cdb4e7460469832a1ea0b42573978b6c86dfa119eea078509e6de01d6,
sha256,4c924a040bcc5cf2a8dce0ec931d4ae1877b7d29023ed94821ee03c486a721d6,
sha256,4f8e60e49e4c8bbd88b00558f80abc929dd9d1a033c63305159fd9fd23de0576,
sha256,518e4e2959bbc4deed8d4283973388314e226c2b45896f7bc50dfa2e0e0a5a95,
sha256,53e7cb80537de9f0c5c73bf21373fbc90a98d34053a2c42ebc08a942e8df4389,
sha256,555687ca3149e23ee980a3acf578e0572da556cf34c87aecf48596834d6b496f,
sha256,58c15b6ead753c7740c08232f79dbb0eaab74b613052247e49bf5d6abc8ae046,
sha256,5a730112a38ce1f1ae7f7ce29c2cfa85abe1d544784674d748316e5734cfecc3,
sha256,5cbd3154967e870e55085e4679415ce2d9448916169e6640d468cb17c47bafee,
sha256,6025287605e660ff65f34ee9081d2a8a25cfdca61fdd584479c2812dad84030a,
sha256,60ffa2a4c96b8f2a95602fc190cabedf4c5860f8514a648b601f0a96fc6da7de,
sha256,65d7ec22b961663df40883f5a851296d017e2866064e54c276fb4b044736a1ad,
sha256,6a28b2f6f6e69dcd7f709b112a87a8453cfb425176bd9057f53d679f4b4a1f6e,
sha256,6b98e37546c7f016f007c48042022138fb28c4677941700bd7f7d1dac4930870,
sha256,6c1df9be76ce31b48cf508644ccaee044cf8c8a3535a6e0a6a6216f0dc9a5f02,
sha256,74a19a12a8d5ec89f985cc23b0f93daa91fb1ac4cb1daafac2fafc68c1b4d852,
sha256,74bbb2320f687034cb63aaffb8c72cf7c4f45b13fc9736c32715bca325fb0322,
sha256,796fe6d21fad602d57b7f6c1eced4a098531df9e96e56356d60451df024cbe12,
sha256,7b1c5147c903892f8888f91c98097c89e419ddcc89958a33e294e6dd192b6d4e,
sha256,7d026daf10da5c5f08136dbe73cd8d9d8f785809623db082dee1552cb0ead47b,
sha256,7e4c7aab11985cb490f2792defcf57a11b4a5fb0d4410ba002439c540ce53296,
sha256,807f8b57ff50a1158db4b93f4f0a2e980fa45856ef33a3d1002c35f9486f03ad,
sha256,81f816aae3d326da8d73f33f10297f24cc79482c6a1e87393af64d496a7912f1,
sha256,81fcf54f9a9a9973bd734e203623f329dbef09789e2c25c78ef1c19a6f0c72d1,
sha256,839550463e4e5ce3fa738378529b1e818405967413a4351d3790eee5c10a3ef2,
sha256,846791a6a27072476ac541a916139020586efbca26de02bbdb04ffc129d4f942,
sha256,879803d1f559e2ef57e857fabaa03f7809b973fea3a2ce97d26aaf5f50925f78,
sha256,887594ca6a20bf67064c0f2bf0db1246ab54236df3fadb7162ac8290d40b1798,
sha256,8eab535445ef91400fa8776ac3cef4f06c71a60832b8699db1fbccf8aacd5806,
sha256,916d16da9bd18fd1cba74c3753f67b6d11fc9dfd8dc4079f99cd65c0b33e667a,
sha256,91b4fe66f4a1c73dda730c752a4aa2895ace4458094ddfe8e064662766672a1c,
sha256,92448bf680c6c38962d84f20c1f6633d0b7ef07261ebb6beb39d1974dd195142,
sha256,9af31121df664468c186cc379bbd786d1a2d9a33518c1967c550e1bf354866a6,
sha256,9da59e3ec0f0386d09a20328b481bbb7431da0cdfa1214ef254a7f8c5b800a49,
sha256,9fdc1c2fc0708a8ce04f318ad50734a34102b5c103101880f458a6ca7cd87e19,
